word,len,count,count_wiki,min_char_freq,nankuro_score
南天,2,2,1709,1117226,4.086531609804847
四神,2,2,2042,325660,4.086525020659165
秀作,2,2,1559,406235,4.086511532069315
附近,2,2,3156,92490,4.086439228377403
堂上,2,2,1987,222301,4.086376325348722
分極,2,2,2031,264054,4.086245600941662
前名,2,2,1204,2113555,4.086166113379338
和書,2,2,1323,1533837,4.086126086953506
根幹,2,2,3053,204494,4.086030912484476
雪印,2,2,3945,129860,4.086006317808127
同艦,2,2,1825,385596,4.085947992403521
物的,2,2,1707,425022,4.085904806323811
御成,2,2,1708,349525,4.085895865857074
国公私立,4,4,1553,143497,4.085890750719056
落差,2,2,2862,320631,4.085833948391789
秋冬,2,2,3799,86131,4.0857719481119155
巨額,2,2,3999,125023,4.0857704458990405
奥地,2,2,2018,155993,4.085704755587894
長保,2,2,1343,1452857,4.085692472211139
善良,2,2,2851,233426,4.085523560128546
一機,2,2,1196,1569824,4.0854809319556615
素数,2,2,2105,404947,4.085452818403679
読解,2,2,2379,279209,4.085447464606537
恋歌,2,2,2917,166267,4.085319746399002
住持,2,2,2553,352724,4.085269922557786
北斉,2,2,2749,78909,4.085219452223532
引張,2,2,2634,390278,4.085105371707971
毛色,2,2,3173,165459,4.085098602876721
無二,2,2,2230,630193,4.085094579806826
服務,2,2,2480,199727,4.084852802064171
太后,2,2,3358,50801,4.084836728243228
無水,2,2,1818,642923,4.084738266234522
堪能,2,2,4974,6306,4.084702187802827
小社,2,2,1226,2182142,4.084668441277252
空砲,2,2,2577,163971,4.08465840475237
仕官,2,2,2643,305755,4.084619346484367
彫像,2,2,3857,44718,4.084552593638233
成道,2,2,1043,3414914,4.084552000016524
計略,2,2,2210,393689,4.084472638957539
叙爵,2,2,4680,63290,4.084436584565358
表門,2,2,1534,907588,4.084333695177945
可算,2,2,2264,407615,4.084307758151299
上板,2,2,1898,266608,4.084292098717548
印字,2,2,2761,221055,4.084174715463101
外海,2,2,1323,1945330,4.084087389060696
農会,2,2,1602,359383,4.084046155522928
音韻,2,2,4510,11454,4.0839679378805425
教主,2,2,1306,2051774,4.083899097913569
休職,2,2,2682,260912,4.083890399949047
婦女,2,2,2403,127411,4.083827192638694
整体,2,2,1955,333169,4.08362002583388
大都,2,2,1071,1343114,4.08358425780526
更地,2,2,1458,687494,4.0835726069430205
来月,2,2,1920,680975,4.083543097180221
苗木,2,2,3308,40470,4.083534862222841
芸大,2,2,1285,573761,4.083509308386783
女御,2,2,1933,349525,4.083433295137587
山側,2,2,1696,374692,4.0833991551142725
船頭,2,2,2576,421359,4.083324486279339
丁度,2,2,1855,502945,4.0832999269254
権能,2,2,1972,461372,4.083180578102396
田家,2,2,1207,1473237,4.083117243127277
性急,2,2,1965,517362,4.083103362388
奔放,2,2,3674,16438,4.082984635682454
仕上,2,2,1835,305755,4.0829605558262285
分区,2,2,1490,1063901,4.082914628783218
露骨,2,2,4153,119361,4.082864302964598
物真似,3,3,2141,104535,4.082711133949408
祖語,2,2,2563,177775,4.082691571562996
元慶,2,2,2566,205510,4.082651151298264
諭吉,2,2,4299,23072,4.0825368305469985
戦域,2,2,1471,1012672,4.082494598277412
分詞,2,2,1730,526235,4.082430002772988
要害,2,2,1752,629950,4.0823578706046435
和装,2,2,1495,818181,4.082317139873786
塾生,2,2,2567,65301,4.082297051651525
新説,2,2,1483,974959,4.082237815570417
和漢,2,2,2178,140947,4.082076052556784
七夕,2,2,4768,96560,4.081765861802002
起爆,2,2,2927,257406,4.081564443531073
輸血,2,2,3056,279953,4.08155792064977
人足,2,2,1447,459373,4.08155402110372
熟読,2,2,4414,56823,4.081519531337402
虚構,2,2,3734,43957,4.081361398071108
火傷,2,2,3161,177261,4.081351109272838
弱者,2,2,3291,66276,4.081322593841934
中巻,2,2,1932,158066,4.081316276272526
固執,2,2,3698,147148,4.0812826609639545
遺児,2,2,2737,370486,4.08112342988697
宿敵,2,2,3837,112396,4.081084908115617
消毒,2,2,3973,67723,4.08098910989637
葉書,2,2,1778,712844,4.080939219909178
啓示,2,2,3539,75301,4.080888870348614
雨水,2,2,2697,96268,4.080883186638616
漫談,2,2,2856,314145,4.080857405032731
平滑,2,2,2572,74043,4.080787638506801
強者,2,2,2113,517490,4.080556054235656
軟体,2,2,3076,38373,4.08055525314339
尺度,2,2,3928,14562,4.080547846534316
死角,2,2,2424,326840,4.080500450145508
底本,2,2,1863,96882,4.080467179865359
即売,2,2,2449,159406,4.080338499155101
甲殻,2,2,5336,21379,4.080332663197531
閉業,2,2,1946,200143,4.080321035714455
非婚,2,2,3159,214033,4.080245165556401
大権,2,2,1332,461372,4.080219766385506
白虎,2,2,3923,41432,4.0802129991583955
天命,2,2,1759,885089,4.080120086395078
大剣,2,2,1796,114221,4.080076524341315
対中,2,2,1173,1586867,4.079976956123806
原付,2,2,1775,498998,4.079923802337486
雪国,2,2,1955,129860,4.079823218536699
私家,2,2,2518,143497,4.07962703312438
根絶,2,2,2891,238950,4.0796053613414545
食感,2,2,2671,377101,4.0795688925632785
押収,2,2,3751,30826,4.079485443163094
主犯,2,2,2202,167419,4.07936761782139
大輪,2,2,1549,225198,4.079347844752249
迫力,2,2,3028,57034,4.079277832386162
砂原,2,2,2359,131035,4.079245407617875
伝法,2,2,1766,667918,4.079214582782255
惨事,2,2,2937,23882,4.079168406641282
確固,2,2,2996,147148,4.0791682567275585
無礼,2,2,3038,136002,4.0791671286878675
千夜,2,2,2508,305097,4.079155546355113
余剰,2,2,5973,35763,4.079148386941202
長元,2,2,1428,986705,4.079130213072458
横転,2,2,1915,563769,4.079089226369383
勅許,2,2,4823,50179,4.07902670628703
不問,2,2,1893,783762,4.078996813406647
北限,2,2,1725,629983,4.078945464091677
県名,2,2,1466,754593,4.078881142991595
地代,2,2,1010,3540455,4.078828236505608
州兵,2,2,2110,643628,4.078704748237244
女形,2,2,1524,983919,4.0786248223014026
戦区,2,2,1437,1063901,4.078605213764227
